"uri","name","en_name","code","status","status_note","policy_area","lead_dg","associated_dg","group_type","scope","mission","task","composition","active_since","last_updated","creating_act","abbreviation","link_to_website"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=175","Education and Training Coordination Group","Education and Training Coordination Group","E00175","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Temporary","Limited","Coordination d'ensemble des activités du processus ""Strategic Framework for European Cooperation in Education and Training 2020""","Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities","National Administrations
Candidate country (Education)
Third Country
Association (Economy)
Trade Union (Education,Economy,Labour interests)","2005","19 Dec 2010",,"ETCG",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=177","Thematic Working Group on Key Competences","Thematic Working Group on Key Competences","E00177","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Temporary","Limited","The Commission has set up the group in the context of the ""Education and Training 2020"" to assist Member States in the implementation of the 2006 Recommendation on Key Competences for lifelong learning. The experts of the group designated by participating countries and stakeholders participate in Peer Learning on the priority policy issues identified by the Member States and the Commission.","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities","National Administrations
NGO (Education,Research)
Candidate country (Civil service)","18/01/06","05 May 2011",,"TWG Key Competences",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=178","Thematic Working Group on Maths, Science and Technology (MST)","Thematic Working Group on Maths, Science and Technology (MST)","E00178","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Temporary","Limited","The Commission has set up the group in the context of the ""Education and Training 2020"" to assist Member States in improving the teaching of MST and achieving the European benchmark on reducing the number of low performers in basic skills. The experts of the group designated by participating countries and stakeholders participate in Peer Learning on the priority policy issues identified by the Member States and the Commission.","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities","National Administrations
Third Country (Education,Research)
Academia (Education,Science,Research,Science)","25/01/06","05 May 2011",,"TWG on MST",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=187","Standing Group on Indicators and Benchmarks","Standing Group on Indicators and Benchmarks","E00187","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Formal, Temporary","Limited","Support et expertise dans le domaine des indicateurs et benchmarks dans le cadre du programme de travail détaillé sur le suivi des objectifs des systèmes d'éducation et de formation en Europe","Coordinates with Member States, exchange of views","National Administrations
Candidate country
Third Country","2002","20 Dec 2010","Programme de travail détaillé sur le suivi des objectifs des systèmes d'éducation et de formation en Europe - 14 février 2002 - JO C 142 du 14/06/2002","SGIB","http://www.europa.eu/comm/education/policies/2010/et_2010_en.html"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=189","Réseau d'information sur l'éducation en Europe","Information network on education in Europe","E00189","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","Améliorer la compréhension réciproque entre les systèmes éducatifs européens par l'échange d'information et l'analyse comparée des politiques et des systèmes.
Recueil et échange d'information sur les systèmes et politiques d'éducation, constitution de bases de données, réalisation d'études comparatives et élaboration d'indicateurs. (Programme d'éducation et de formation tout au long de la vie)","Coordinates with Member States, exchange of views","National Administrations
Candidate country
Third Country","2002","20 Dec 2010",,"EURYDICE","http://http://eacea.ec.europa.eu/education/eurydice/index_en.php"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=191","Coordination Copenhague- Copenhagen Coordination Group","Copenhagen Coordination Group","E00191","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","The Group will assist the Directors General for Vocational Training in planning and monitoring activities of the Copenhagen Process","Assist the Commission in the preparation of legislation or in policy definition","Trade Union (Education)
National Administrations","18/01/06","05 May 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=198","European Language Label","European Language Label","E00198","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","To establish close cooperation between the institutions of the Member States and the Commission on issues relating to the European Language Label.","Monitors the development of national policies and the enforcement of EU legislation by national authorities","National Administrations
International organization (Culture,Education,Education)
Candidate country (Education)
Third Country (Education)","05/10/05","05 Apr 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=205","Erasmus Mundus National Structure","Erasmus Mundus National Structure","E00205","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Temporary","Limited","To disseminate general information on the programme; to provide advice to applicants; to provide feedback on programme implementation; to cooperate and liaise with NS in other participating countries; consultative role.","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views
Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations
Candidate country
Third Country","2004","13 May 2011",,,"http://ec.europa.eu/erasmus-mundus"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","Erasmus Mundus","Erasmus Mundus","E00207","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Temporary","Limited","To contribute to the programme's implementation; development and monitoring; information.","Assist the Commission in the preparation of legislation or in policy definition","Education","2004","13 May 2011",,,"http://ec.europa.eu/erasmus-mundus"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=214","Centres nationaux d'information pour la reconnaissance académique (NARIC)","National Information Centres for Academic Recognition (NARIC)","E00214","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","Réunion des responsables des Centres Nationaux d'Information pour la Reconnaissance (NARIC) pour la discussion des objectifs du réseau","Coordinates with Member States, exchange of views","National Administrations
Candidate country (Education)
Third Country (Education)","1984","27 Apr 2011",,"NARIC","http://ec.europa.eu/education/lifelong-learning-policy/doc1998_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=217","European  University Council for the Jean Monnet Programme","European University Council for the Jean Monnet Programme","E00217","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","Independent academic committee that provides academic guidance to the Commission on the priorities and future of the Jean Monnet programme","Assist the Commission in the preparation of legislation or in policy definition","Academia","05/10/05","30 Mar 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=218","Presidents of European Community Study Associations","Presidents of European Community Study Associations","E00218","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","Provides expertise to the Commission in the field of European integration studies worldwide.","Assist the Commission in the preparation of legislation or in policy definition","Academia","1990","05 Apr 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=229","EUROGUIDANCE","EUROGUIDANCE","E00229","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","Coordination of activities of Euroguidance centres.","Coordinates with Member States, exchange of views","National Administrations
Candidate country (Education)
Third Country (Education)","1999","23 May 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=233","Europass - Centres Nationaux Europass","Europass - Europass National Centres","X00233","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Formal, Permanent","Limited","Mise en oeuvre de l'initative Europass en soutien à la mobilité (cf décision 2241/2004/EC).","Coordinates with Member States, exchange of views","National Administrations
Candidate country (Education)
Third Country","2005","16 Mar 2011","Décision n°2241/2004/CE du Parlement européen et du Conseil du 15/12/04 - JO L 390/6 du 31/12/2004","NEC",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=241","Points de contacts dans le domaine culturel","Points of contacts in the cultural field","X00241","Active","Group which operates on a permanent basis","Culture","EAC - Education and Culture DG",,"Formal, Temporary","Limited","Réunion des ""Points de contact culture"", structures d'information établies dans les EM, par le programme ""Culture""","informer le public-cible s/le programme CULTURE et conseils aux bénéficiaires","National Administrations
Candidate country
Third Country
EU agency (Culture)","05/10/05","20 Dec 2010","Décision n° 1855/2006/CE du 12 décembre 2006 établissant le programme CULTURE",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=242","Jury de sélection de la capitale européenne de la culture","Jury selection for the European Capital of Culture","X00242","Active","Group which operates on a permanent basis","Culture","EAC - Education and Culture DG",,"Formal, Permanent","Limited","Avis sur les candidatures pour les Capitales européennes de la culture.","Coordinates with Member States, exchange of views","Culture
Economy","05/10/05","08 Dec 2010","Décision n° 1622/2006/CE du 24 octobre 2006",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=249","Préparation, valorisation et évaluation des programmes pour la jeunesse","Preparation, development and evaluation of youth programs","E00249","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","- Evaluer et identifier les procédures et outils nécessaires à la bonne mise en œuvre des programmes pour la jeunesse;
- Echanges de points de vue et de bonnes pratiques pour la valorisation des programmes pour la jeunesse;
- Consultation sur le Guide du programme et autres documents clés pour 'Jeunesse en action';
- Echanges de points de vue et propositions concernant les priorités des programmes pour la jeunesse;","Coordinates with Member States, exchange of views","National Administrations
Candidate country (Culture, Jeunesse)
Third Country (Culture, Jeunesse)","2006","20 May 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=251","Agences du programme 'Jeunesse en Action'","Agency of the program Youth in Action","E00251","Active","Group which operates on a permanent basis","Education, Training, Youth","EAC - Education and Culture DG",,"Informal, Permanent","Limited","Coordination de la mise en œuvre du programme Jeunesse en Action au niveau décentralisé (agences nationales).","Coordinates with Member States, exchange of views","National Administrations
Candidate country (Culture, Jeunesse)
Third Country (Culture, Jeunesse)","2006","20 May 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=260","Macroeconomic Dialogue at technical level","Macroeconomic Dialogue at technical level","X00260","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG","EMPL - Employment, Social Affairs and Equal Opportunities DG","Formal, Permanent","Limited","The MEDTEC is intended to improve the conditions for a cooperative macro-economic policy mix geared to growth and employment, while maintaining price stability. It is also intended to contribute to:
- making best possible use of existing production and employment potentials
- achieving a high level of investment so as to permit durably higher growth and more jobs via the expansion of productive capacities.
The MEDTEC does not engage in an ex-ante co-ordination of fiscal policy, monetary policy and wage settlements.","Monitors the development of national policies - Coordinates with Member States, social partners, exchange of views","International organization (Labour interests,Public affairs,Industry)","05/04/06","10 May 2011","Cologne European Council, June 1999","MEDTEC",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=261","Euro Cash User Group","Euro Cash User Group","E00261","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG","ENTR - Enterprise and Industry DG
MARKT - Internal Market and Services DG
OLAF - European Anti-Fraud Office
SANCO - Health and Consumers DG","Informal, Permanent","Limited","Providing a forum for the relevant stakeholders for the exchange of views on euro cash-related matters","Coordinates with Member States, exchange of views","Corporate (Finance,Finance,Consumer affairs,Banking,Industry)
Association (Banking,Industry)
International organization (Finance)","27/09/05","20 May 2011",,"ECUG",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=262","Mint Directors Working Group","Mint Directors Working Group","E00262","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG","OLAF - European Anti-Fraud Office","Informal, Permanent","Limited","Developing and monitoring the euro coinage system","Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities","National Administrations","27/09/05","11 May 2011",,"MDWG",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=263","Public Administration Network II","Public Administration Network II","E00263","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG",,"Informal, Temporary","Limited","Co-ordinating Member States practical preparations for the introduction of the euro","Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities
Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations","27/09/05","11 May 2011",,"PAN II",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=264","Economic forecasts for candidate countries","Economic forecasts for candidate countries","E00264","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG",,"Informal, Permanent","Limited","To facilitate an exchange of views on current trends of and prospects for the economies of candidate countries and thereby advise the Commission on the preparation of the semi-annual macroeconomic forecast for candidate countries","Coordinates with Member States, exchange of views","Candidate country (Economy)","2002","11 May 2011",,"EFCC",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=266","Group of the Directors of Communication on the euro","Group of the Directors of Communication on the euro","E00266","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG",,"Informal, Temporary","Limited","- To coordinate the communication activities between the Member States, the European System of Central Banks and the European Commission
- To play a central role in defining and implementing the information and communication strategy on the euro and the EMU","Coordinates with Member States, exchange of views
Provides expertise to the Commission when drafting of implementing measures","National Administrations","27/09/05","12 May 2011",,"DIRCOM",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=267","Cyclical surveys and analyses","Cyclical surveys and analyses","E00267","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG",,"Informal, Permanent","Limited","To establish close cooperation between the institutions of the Member states and the Commission on issues relating to the harmonisation, coordination, analysis and dissemination of business surveys in the Member states (""The Joint Harmonized European Union Programme of Business and Consumer Surveys"").","Coordinates with Member States, exchange of views","National Administrations
Candidate country
Third Country (Statistics)","27/09/05","20 Dec 2010",,,"http://ec.europa.eu/economy_finance/db_indicators/surveys/index_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=268","Association d'Instituts Européens de Conjoncture Economique","Association of European Conjuncture Institutes","E00268","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG",,"Informal, Permanent","Limited","To establish close cooperation between the institutions of the Member states and the Commission on issues relating to general economic developments in Europe","Coordinates with Member States, exchange of views","National Administrations
Third Country
Academia","27/09/05","20 Dec 2010",,"AIECE",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=269","Economic Forecast Experts","Economic Forecast Experts","E00269","Active","Group which operates on a permanent basis","Economic and Monetary Affairs","ECFIN - Economic and Financial Affairs DG",,"Informal, Permanent","Limited","To contribute to the production of macroeconomic forecasts for Member States, acceding countries, candidate countries and the US and Japan.
The forecasts are used by DG ECFIN and other services of the Commission (DG BUDG, DG ADMIN, DG AGRI, etc.), as well as outside the Commission.","Coordinates with Member States, exchange of views","National Administrations","05/04/06","10 Dec 2010",,,"http://ec.europa.eu/economy_finance/publications/economic/european_economy/forecasts_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=365","Scientific review group on CITES","Scientific review group on CITES","X00365","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Formal, Permanent","Limited","The Scientific Review Group (SRG) is established under Article 17 of Council Regulation 338/97 on the protection of species of wild fauna and flora by regulating trade therein and examines scientific questions relating to the application of this Regulation.","(Formulates opinions in relation to imports into the EU; gives advices to amend Annexes B to D; co-ordination, exchange of views, other scientific tasks)","National Administrations","1997","18 May 2011","Article 17 of Council Regulation (EC) N°338/97 of 9 December 1996 on the protection of species of wild fauna and flora.","SRG","http://ec.europa.eu/environment/cites/srg_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=366","Environment Policy Review Group  ","Environment Policy Review Group","E00366","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Informal, Permanent","Limited","The group of Directors General of all national MS Ministries for Environment (or equivalent) meets with the Directors General of European Economic Area countries, accession candidate countries and the Executive Director of the European Environment Agency. The main objective is to gather views on EU environment policy issues that are in the pipeline or are important ongoing policy items, as well as collecting information on actual experiences in the MSs relating to the implementation of EU environmental policies. The meetings are conducted under the 'Chatham House' rules.","Coordinates with Member States, exchange of views","National Administrations","1990","15 Dec 2010",,"EPRG",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=371","Expert Group on Floods and Strategic Coordination for the Water Framework Directive","Expert Group on Floods and Strategic Coordination for the Water Framework Directive","E00371","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG","JRC - Joint Research Centre
RTD - Research DG","Informal, Permanent","Limited","Implementation of the Water Framework Directive 2000/60/EC","Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities","National Administrations
NGO (Environment,Agriculture,Employment and social affairs,Energy,Industry)
Association (Environment,Agriculture,Natural resources, Industry,Energy, Industry,Engineering (chemical), Science, Environment,Industry)
Candidate country (Agriculture)
(Environment)
Third Country (Environment,Natural resources,Natural resources,Energy, Research,Climate, Science, Environment)
International organization (Agriculture,Environment, Environnement,Economy,Architecture,Culture, Science, Environment, Education)
EU agency (Environment)
Academia (Natural resources,Science,Research)
Research Institute (Natural resources,Research, Science,Public health)","26/10/05","13 May 2011",,"EGSC","http://ec.europa.eu/environment/water"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=373","Industrial Emissions Expert Group ","Industrial Emissions Expert Group","E00373","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Informal, Permanent","Broad","•   To facilitate the exchange of experiences and good practices in the area of the implementation of the Directive on Industrial Emissions (IED)
•   To advise the Commission in the preparation of delegated acts","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities
Preparation of delegated acts","National Administrations","1998","05 May 2011",,"IEEG","http://ec.europa.eu/environment/air/pollutants/stationary/ippc/index.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=374","European Union Eco-labelling Board","European Union Eco-labelling Board","E00374","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Formal, Permanent","Limited","Setting and review of ecological criteria & related assessment & compliance verification requirements for product groups. Consulted by the Commission on the Community Eco-label working plan.  Promotion of use of the European Ecolabel.","Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations
Candidate country (Environment)
Research Institute (Environment)
NGO (Environment,Economy,Consumer affairs)
Association (Environment,Economy,Industry,Consumer affairs,Industry)","24/02/06","13 May 2011","Commission Decision of 22 November 2010 establishing the European Union Ecolabelling Board (2010/709/EU)","EUEB","http://ec.europa.eu/environment/ecolabel/index_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=377","Transferts de déchets","Waste Shipment","X00377","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG","TRADE - Trade DG","Formal, Permanent","Limited","Examiner les questions concernant la mise de oeuvre du Réglement (CE) No.1013/2006 sur le transfert de déchets.","Coordinates with Member States, exchange of views","National Administrations","29/09/05","20 Dec 2010","Règlement (CE) n° 1013/2006 du Parlement européen et du Conseil du 14 juin 2006 concernant les transferts de déchets. JO L 190, 12.7.2006, p. 1–98.",,"http://ec.europa.eu/environment/waste/shipments/pdf/list_correspondents.pdf
http://ec.europa.eu/environment/waste/shipments/index.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=378","Committee on Waste Management","Committee on Waste Management","E00378","On Hold","Group which does not operate on a permanent basis","Environment","ENV - Environment DG",,"Formal, Permanent","Limited","Advise the Commission on waste management policies.","Coordinates with Member States, exchange of views","National Administrations","28/10/05","23 May 2011","Commission Decision of 21 April 1976 setting up a Committee on Waste Management (76/431/EEC) Official Journal L 115 , 01/05/1976 P. 0073 - 0074 - article 4",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=382","Green Spider Network of Environmental Communicators","Green Spider Network of Environmental Communicators","E00382","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Informal, Permanent","Limited","The GSN is a network of communication professionals from national environmental ministries and agencies in Europe.  The network is a forum for sharing information, ideas and good communication practices. It enables and encourages the coordination of environmental communication activities across Europe and the replication of successful communication concepts. DG Environment profits from the network for developing and coordinating its communication activities with the EU Member States.","Coordinates with Member States, exchange of views","National Administrations
Candidate country
Third Country
Research Institute (Climate, Environment)
EU agency (Climate, Environment)","1999","20 Dec 2010",,"GSN","http://ec.europa.eu/environment/networks/greenspider/index_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=384","European Business Awards for the Environment - Steering Committee","European Business Awards for the Environment - Steering Committee","E00384","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Informal, Permanent","Limited","To organise the award ceremony.  To manage the national schemes.  To organise the European Award Ceremony and to promote the EBAE.  Proposes candidates for the Jury Panel in close co-operation with the European Commission.  They evaluate which companies can enter the scheme and which cannot.","To manage national schemes, prepare entries for the European scheme.  Launch the scheme in Member States and help companies who won national awards to prepare their entry at European level.","National Administrations
Candidate country
Corporate","1987","20 Dec 2010",,"EBAE - SC","http://ec.europa.eu/environment/awards/index_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=390","Commission's expert group on Aarhus Implementation","Commission's expert group on Aarhus Implementation","E00390","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Informal, Permanent","Limited","To discuss issues concerning the implementation of the Aarhus Convention","Coordinates with Member States, exchange of views","National Administrations","2004","18 May 2011",,"AI","http://ec.europa.eu/environment/aarhus/index.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=391","Expert group on Environmental Liability","Expert group on Environmental Liability","E00391","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Informal, Temporary","Limited","To discuss matters relating to environmental liability and the implementation of Directive 2004/35 on environmental liability with regard to the prevention and remedying of environmental damage","Coordinates with Member States, exchange of views","National Administrations","2005","05 May 2011",,"ELD","http://ec.europa.eu/environment/legal/liability/index.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=416","Expert Group on Forest Fires","Expert Group on Forest Fires","E00416","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG","JRC - Joint Research Centre","Informal, Permanent","Limited","Development and maintenance of EFFIS (European Forest Fires Information System).","Coordinates with Member States, exchange of views","National Administrations
Third Country (Agriculture,Environment,Forestry, Development)
International organization (Environment,Forestry)","1998","03 May 2011",,,"http://ec.europa.eu/environment/forests/legislation.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=419","Competent Authorities for Biocidal Products (Directive 98/8/EC)","Competent Authorities for Biocidal Products (Directive 98/8/EC)","E00419","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG","ENTR - Enterprise and Industry DG
JRC - Joint Research Centre","Informal, Permanent","Limited","To provide assistance with the harmonised implementation of Directive 98/8/EC on the placing of biocidal products on the market. Representatives of Member States, industry and NGO's are invited to participate.","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views","National Administrations
Third Country ( Pollution, Produits chimiques,Climate,Public health)
Candidate country (Environment, Alimentation)","2000","12 May 2011",,"Biocides","http://ec.europa.eu/environment/biocides/index.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=436","Ozone Layer Protection","Ozone Layer Protection","E00436","On Hold","Group which does not operate on a permanent basis","Climate","CLIMA - Climate Action DG","ENTR - Enterprise and Industry DG","Informal, Permanent","Limited","To coordinate a European Union position with Member States for the international negotiations on the phase out of ozone depleting substances under the Montreal Protocol.","Coordinates with Member States, exchange of views","National Administrations
Candidate country
Third Country","2000","20 Dec 2010",,,"http://ec.europa.eu/environment/ozone/index.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=441","Thematic strategy on sustainable use of pesticides","Thematic strategy on sustainable use of pesticides","E00441","Active","Group which operates on a permanent basis","Environment","SANCO - Health and Consumers DG","AGRI - Agriculture and Rural Development DG
AGRI - Agriculture and Rural Development DG","Informal, Temporary","Limited","Continuous improvements and development of appropriate guidance, best practices and recommendations as regards sustainable use of pesticides.","Coordinates with Member States, exchange of views
Monitors the development of national policies and the enforcement of EU legislation by national authorities","National Administrations
Trade Union
International organization (Agriculture,Development,Land management)
Agriculture","2002","20 Dec 2010",,"TS-Pesticides","http://ec.europa.eu/environment/ppps/home.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=446","EU Forum of Judges for the Environment","EU Forum of Judges for the Environment","X00446","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Informal, Permanent","Limited","To discuss and propose solutions to problems of the application of environmental legislation in all MS.","Coordinates with Member States, exchange of views","National Administrations","2004","20 May 2011",,"EUFJE","http://www.eufje.org"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=449","Commission expert group for Community Strategy on endocrine disruptors ","Commission expert group for Community Strategy on endocrine disruptors","E00449","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG","JRC - Joint Research Centre
RTD - Research DG
SANCO - Health and Consumers DG","Informal, Permanent","Broad","To review and give advice on activities related to the policy on endocrine disrupters (implementation of the Strategy on E/D - COM(1999) 706","Coordinates with Member States, exchange of views","National Administrations","25/01/06","10 May 2011",,,"http://ec.europa.eu/environment/endocrine/index_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=452","Development and Implementation of EMAS","Development and Implementation of EMAS","X00452","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG",,"Formal, Temporary","Limited","This working group discusses and gives advice on all questions/problems, which may occur during the implementation and development of the EMAS Regulation, in order to garantee a harmonised implementation of that Regulation in all Member States.","Coordinates with Member States, exchange of views","National Administrations
NGO","2002","20 Dec 2010","Regulation (EC) n° 761/2001 of the European Parliament and the Council of 19 March 2001",,"http://ec.europa.eu/environment/emas/."
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=453","Informal Green Public Procurement Advisory Group ","Informal Green Public Procurement Advisory Group","E00453","Active","Group which operates on a permanent basis","Administration","ENV - Environment DG","ENTR - Enterprise and Industry DG
MARKT - Internal Market and Services DG
ENER - Energy DG
MOVE - Mobility and Transport DG","Informal, Permanent","Limited","To promote green public procurement in the EU and to assist the Commission in the preparation of legislation or in policy definition","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views","National Administrations
Third Country (Environment)
NGO (Environment,Consumer affairs)
Corporate (Environment,Industry)","2004","16 May 2011",,"GPP Advisory Group","http://ec.europa.eu/environment/gpp/index_en.htm"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=465","Implementation of the strategy against mercury release","Implementation of the strategy against mercury release","E00465","Active","Group which operates on a permanent basis","Environment","ENV - Environment DG","SANCO - Health and Consumers DG
TRADE - Trade DG
ENER - Energy DG","Informal, Temporary","Limited","To reduce mercury levels in the environment and human exposure.","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views","National Administrations","25/10/05","20 Jan 2011",,,"http://www.ec.europa.eu/environment/chemicals/mercury/"
